# 2018-03-29
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	up_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Ksr1	-0.0125377924814825	0.05354715267268	-0.234144895772942	-0.118291262793108	0.0932345293629388	0.814895832275159	0.59255208386242	0.999994187184675	0.946427802229951	6205	4674	0.0548097541552011	1	9.88827019599319	5.95486325608498	7.53523062945657	10.4196503635611	-0.0125377924814825	-0.0125377924814825	-0.0125377924814825	-0.0125377924814825	NA	F	random_intercept
Selenof	-0.00566716291273242	0.0241303318021983	-0.234856402273596	-0.0533160652177879	0.0420278110502388	0.814394422393263	0.592802788803369	0.999994187184675	0.946427802229951	6206	4673	0.0551126163812796	1	12.5793614123339	11.8251496329923	12.053330629515	11.7796677659441	-0.00566716291273242	-0.00566716291273242	-0.00566716291273242	-0.00566716291273242	NA	F	random_intercept
Fam60a	-0.0245372923166133	0.104304610958248	-0.235246477516083	-0.233440539359197	0.183731603798641	0.814161725803904	0.592919137098048	0.999994187184675	0.946427802229951	6207	4672	0.0552534691952076	1	6.49731077408242	NA	6.82275529727876	6.37964324311551	-0.0245372923166133	NA	-0.0245372923166133	-0.0245372923166133	NA	F	random_intercept
Irf5	-0.00965412175945557	0.0410261796590589	-0.235316128376674	-0.090731819661712	0.0713583127649157	0.814007542517089	0.592996228741456	0.999994187184675	0.946427802229951	6208	4671	0.0553469018675017	1	5.89614775895707	6.58715416866261	5.87909990483273	6.14210736667806	-0.00965412175945557	-0.00965412175945557	-0.00965412175945557	-0.00965412175945557	NA	F	random_intercept
Chmp2b	-0.00900327492886994	0.0382559369263449	-0.235343208198094	-0.0845584636401349	0.0665624189059022	0.8139650123581	0.59301749382095	0.999994187184675	0.946427802229951	6209	4670	0.0553726891395989	1	10.7073328785028	5.93148915592059	9.43769070587479	10.1033290932007	-0.00900327492886994	-0.00900327492886994	-0.00900327492886994	-0.00900327492886994	NA	F	random_intercept
Rbm48	-0.00614033308046567	0.0260904103152242	-0.235348275718097	-0.0576730015205804	0.0453903952556413	0.81395831350351	0.593020843248245	0.999994187184675	0.946427802229951	6210	4669	0.0553767514277439	1	7.48037508369645	9.83676693164698	6.58148660093089	7.32411385002975	-0.00614033308046567	-0.00614033308046567	-0.00614033308046567	-0.00614033308046567	NA	F	random_intercept
Adamtsl4	-0.0128473702294225	0.0544296329940789	-0.236036319238457	-0.120385749789857	0.0946379398238589	0.813431065172472	0.593284467413764	0.999994187184675	0.946427802229951	6211	4668	0.055696976278611	1	4.9997907239892	7.99343119116176	6.03934379037118	6.49527526282638	-0.0128473702294225	-0.0128473702294225	-0.0128473702294225	-0.0128473702294225	NA	F	random_intercept
Gfpt2	-0.00767344055425769	0.0324745332219327	-0.236291019237043	-0.0718185304616996	0.0564639548454249	0.81322669037121	0.593386654814395	0.999994187184675	0.946427802229951	6212	4667	0.0558213656622613	1	6.56520827102549	7.88227025454976	5.88184726699904	7.03668846538012	-0.00767344055425769	-0.00767344055425769	-0.00767344055425769	-0.00767344055425769	NA	F	random_intercept
Nkx2-3	-0.011481116950073	0.0485795236705587	-0.236336548458812	-0.107426524302321	0.0844735660380246	0.813193508392426	0.593403245803787	0.999994187184675	0.946427802229951	6213	4666	0.0558415751542327	1	6.0091958922154	6.48129935739609	5.06938554125385	6.2324077661246	-0.011481116950073	-0.011481116950073	-0.011481116950073	-0.011481116950073	NA	F	random_intercept
Myo9a	-0.00930973655448893	0.039377437470548	-0.236423118224797	-0.0871596021022889	0.0684477670706198	0.813177723505509	0.593411138247245	0.999994187184675	0.946427802229951	6214	4665	0.0558511902988528	1	7.84130133611412	8.62394176404658	8.98086741688217	8.76809261277152	-0.00930973655448893	-0.00930973655448893	-0.00930973655448893	-0.00930973655448893	NA	F	random_intercept
